区间索引	测试分布	基线分布	差异	log(P/Q)	KL贡献
0	0.145360	0.163467	-0.018107	-0.117398	-0.017065
1	0.000000	0.000000	-0.000000	-1.859021	0.000000
2	0.000000	0.000001	-0.000001	-8.562853	0.000000
3	0.000000	0.000013	-0.000013	-11.747972	0.000000
4	0.000400	0.000146	0.000255	1.011371	0.000405
5	0.000400	0.000305	0.000095	0.271330	0.000109
6	0.000300	0.000523	-0.000223	-0.555348	-0.000167
7	0.001101	0.001316	-0.000215	-0.178239	-0.000196
8	0.004004	0.003263	0.000742	0.204803	0.000820
9	0.008910	0.008981	-0.000071	-0.007965	-0.000071
10	0.008609	0.008862	-0.000252	-0.028889	-0.000249
11	0.001101	0.001110	-0.000008	-0.007650	-0.000008
12	0.024827	0.025468	-0.000641	-0.025489	-0.000633
13	0.000601	0.000887	-0.000286	-0.389716	-0.000234
14	0.005006	0.005338	-0.000333	-0.064334	-0.000322
15	0.002202	0.001971	0.000231	0.110994	0.000244
16	0.074081	0.082888	-0.008806	-0.112320	-0.008321
17	0.000601	0.000951	-0.000350	-0.458981	-0.000276
18	0.006207	0.005550	0.000657	0.111831	0.000694
19	0.019521	0.020631	-0.001109	-0.055264	-0.001079
20	0.019922	0.021152	-0.001230	-0.059908	-0.001193
21	0.007208	0.008261	-0.001053	-0.136310	-0.000983
22	0.005206	0.005778	-0.000572	-0.104305	-0.000543
23	0.003204	0.003010	0.000193	0.062164	0.000199
24	0.289919	0.319601	-0.029682	-0.097473	-0.028259
25	0.289819	0.319601	-0.029783	-0.097819	-0.028350
26	0.002903	0.003010	-0.000107	-0.036276	-0.000105
27	0.005206	0.005778	-0.000572	-0.104305	-0.000543
28	0.008810	0.008261	0.000549	0.064361	0.000567
29	0.020723	0.021152	-0.000429	-0.020494	-0.000425
30	0.019622	0.020631	-0.001009	-0.050149	-0.000984
31	0.005406	0.005550	-0.000144	-0.026320	-0.000142
32	0.000901	0.000951	-0.000050	-0.053516	-0.000048
33	0.084993	0.082888	0.002106	0.025089	0.002132
34	0.001902	0.001971	-0.000069	-0.035610	-0.000068
35	0.006407	0.005338	0.001069	0.182526	0.001169
36	0.001201	0.000887	0.000314	0.303431	0.000365
37	0.028932	0.025468	0.003464	0.127509	0.003689
38	0.001602	0.001110	0.000492	0.367044	0.000588
39	0.009911	0.008862	0.001049	0.111883	0.001109
40	0.009911	0.008981	0.000930	0.098519	0.000976
41	0.003604	0.003263	0.000341	0.099442	0.000358
42	0.001301	0.001316	-0.000015	-0.011185	-0.000015
43	0.000300	0.000523	-0.000223	-0.555348	-0.000167
44	0.000501	0.000305	0.000195	0.494473	0.000248
45	0.000200	0.000146	0.000055	0.318224	0.000064
46	0.000000	0.000013	-0.000013	-11.747972	0.000000
47	0.000000	0.000001	-0.000001	-8.562853	0.000000
48	0.000000	0.000000	-0.000000	-1.859021	0.000000
49	0.215337	0.163467	0.051870	0.275593	0.059345
